year,team,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance
2017,gnb,-0.6580083464217319,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,78092.0,0.3123544688537171,1.07,0.8282737388200024,0.96,77834.0
2018,gnb,-0.6580083464217319,-0.5005905855801959,0.4626480036951401,-0.6414960643497905,77834.0,1.4051035560656566,0.96,0.8282737388200024,0.956,77845.0
2006,htx,-1.0715553876713033,-0.6637043718928439,1.3613804893421588,-0.6414960643497905,70183.0,-0.159509471684649,1.01,-0.1923002762359031,1.02,70519.0
2007,htx,-1.0715553876713033,-0.011249226642251609,1.3613804893421588,-0.6414960643497905,70519.0,-0.20701157402957712,1.02,-0.1923002762359031,0.99,70420.0
2008,htx,-0.24446130517216047,-0.011249226642251609,0.4626480036951401,-0.6414960643497905,70420.0,0.062336339867320845,0.99,-0.1923002762359031,0.99,70608.0
2009,htx,0.5826327773269824,0.3149783459830446,-0.43608448195187843,-0.6414960643497905,70608.0,0.08797438828852379,0.99,-0.1923002762359031,1.0,71080.0
2010,htx,-0.24446130517216047,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,71080.0,0.05540861188967697,1.0,-0.1923002762359031,1.01,71496.0
2011,htx,0.16908573607741093,0.6412059186083408,-1.3348169675988968,0.8727330177782031,71496.0,0.016002061922196834,1.01,-0.1923002762359031,1.01,71665.0
2012,htx,2.2368209423252683,1.2936610638589332,-1.3348169675988968,0.8727330177782031,71665.0,0.038592655356744325,1.01,-0.1923002762359031,1.01,71658.0
2013,htx,-0.24446130517216047,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,71658.0,0.03765695030324168,1.01,-0.1923002762359031,1.01,71766.0
2014,htx,-0.24446130517216047,0.3149783459830446,-0.43608448195187843,-0.6414960643497905,71766.0,0.052093542557270923,1.01,-0.1923002762359031,1.01,71769.0
2015,htx,-0.24446130517216047,0.3149783459830446,-1.3348169675988968,0.11561847671420634,71769.0,0.05249455900877037,1.01,-0.1923002762359031,1.01,71868.0
2016,htx,-1.0715553876713033,0.3149783459830446,-1.3348169675988968,0.8727330177782031,71868.0,0.06572810190829931,1.01,-0.1923002762359031,1.01,71774.0
2017,htx,-0.6580083464217319,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,71774.0,0.05316291976127338,1.01,-0.1923002762359031,1.0,71804.0
2018,htx,0.9961798185765537,0.967433491233637,-1.3348169675988968,0.11561847671420634,71804.0,0.1531550352214896,1.0,-0.1923002762359031,0.997,71793.0
2008,clt,0.16908573607741093,1.2936610638589332,-0.43608448195187843,0.11561847671420634,66378.0,-1.006146861706015,1.05,-1.212874291291809,1.06,66549.0
2009,clt,1.4097268598261252,1.9461162091095257,-1.3348169675988968,2.3869620999061967,66549.0,-1.0648848186611894,1.06,-1.212874291291809,1.06,66975.0
2010,clt,0.5826327773269824,0.6412059186083408,-1.3348169675988968,0.11561847671420634,66975.0,-1.0106265361383202,1.06,-1.212874291291809,1.03,64828.0
2011,clt,-1.0715553876713033,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,64828.0,-1.0435898215481405,1.03,-1.212874291291809,1.04,65189.0
2012,clt,-0.24446130517216047,0.967433491233637,-0.43608448195187843,0.11561847671420634,65189.0,-1.0784322437530096,1.04,-1.212874291291809,1.05,65950.0
2013,clt,-0.24446130517216047,0.967433491233637,-1.3348169675988968,0.8727330177782031,65950.0,-1.0611790495329232,1.05,-1.212874291291809,1.04,65375.0
2014,clt,1.4097268598261252,0.967433491233637,-1.3348169675988968,1.6298475588421997,65375.0,-1.0542864262597609,1.04,-1.212874291291809,1.05,66047.0
2015,clt,-0.24446130517216047,-0.011249226642251609,-0.43608448195187843,-0.6414960643497905,66047.0,-1.0487068013571994,1.05,-1.212874291291809,1.04,65549.0
2016,clt,-0.6580083464217319,-0.011249226642251609,0.4626480036951401,-0.6414960643497905,65549.0,-1.0316984034434957,1.04,-1.212874291291809,1.01,63440.0
2017,clt,-0.6580083464217319,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,63440.0,-1.060860782507923,1.01,-1.212874291291809,0.94,59199.0
2018,clt,-0.24446130517216047,0.6412059186083408,-0.43608448195187843,0.8727330177782031,59199.0,-1.0384792295640535,0.94,-1.212874291291809,0.97,61110.0
